date,price
2023-06-05 15:13:18,61990.0
2023-06-06 15:13:18,61990.0
2023-06-07 15:13:18,61990.0
2023-06-08 15:13:18,61990.0
2023-06-09 15:13:18,61990.0
2023-06-10 15:13:18,61990.0
2023-06-11 15:13:18,61990.0
2023-06-12 15:13:18,61990.0
2023-06-13 15:13:18,61990.0
2023-06-16 17:51:07,72526.0
2023-06-17 10:44:35,61990.0
2023-06-17 19:33:48,61990.0
2023-06-18 19:14:00,72526.0
2023-06-19 07:13:53,61990.0
2023-06-20 13:03:51,61990.0
2023-06-22 06:51:44,61990.0
2023-06-23 07:14:10,61990.0
2023-06-23 07:15:51,61990.0
2023-06-23 23:20:02,61990.0
2023-06-25 18:55:47,72526.0
2023-06-30 13:25:08,61990.0
2023-07-03 03:53:17,72526.0
2023-07-03 11:02:04,61990.0
2023-07-09 01:04:13,72526.0
2023-07-09 12:12:41,62990.0
2023-07-10 12:27:08,62990.0
2023-07-11 12:39:24,62990.0
2023-07-12 12:45:48,62990.0
2023-07-13 00:18:15,60990.0
2023-07-13 04:18:43,59990.0
2023-07-13 04:33:03,62990.0
2023-07-13 04:33:17,59990.0
2023-07-13 07:52:28,62990.0
2023-07-13 08:44:40,59990.0
2023-07-13 11:43:59,62990.0
2023-07-13 11:44:07,59990.0
2023-07-13 18:16:51,62990.0
2023-07-13 18:20:07,59990.0
2023-07-14 18:22:52,59990.0
2023-07-15 01:16:22,62990.0
2023-07-15 04:22:12,59990.0
2023-07-16 05:11:34,59990.0
2023-07-16 18:52:16,62990.0
2023-07-16 20:45:51,60990.0
2023-07-16 23:07:25,59990.0
2023-07-18 00:31:31,59990.0
2023-07-19 02:00:26,59990.0
2023-07-20 02:01:08,62990.0
2023-07-21 04:20:30,62990.0
2023-07-21 11:09:31,60990.0
2023-07-22 11:40:32,60990.0
2023-07-23 22:16:33,60990.0
2023-07-25 00:40:49,60990.0
2023-07-26 00:45:58,60990.0
2023-07-27 01:58:17,60990.0
